Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
Fully-functional,Alum Beach Dispensary,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kalwal Community Health Unit,703164,40739
Fully-functional,Kodula Dispensary,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kawiti Community Health Unit,703163,40739
Fully-functional,Kodula Dispensary,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kamuga Community Health Unit,703162,40739
Fully-functional,Oriwo Dispensary,Kibiri,Karachuonyo,Karachuonyo,Homa Bay,Kodero Community Health Unit,703161,40700
Fully-functional,Wikondiek Dispensary,Kanyaluo,Karachuonyo,Karachuonyo,Homa Bay,Kamenya South Community Health Unit,703160,41075
Fully-functional,Chuthber Dispensary,Wang'chieng,Karachuonyo,Karachuonyo,Homa Bay,Karabondi B Community Health Unit,703159,39644
Fully-functional,Rakwaro Dispensary,Wang'chieng,Karachuonyo,Karachuonyo,Homa Bay,Rakwaro Community Health Unit,703158,41927
Fully-functional,Miriu Health Centre,Wang'chieng,Karachuonyo,Karachuonyo,Homa Bay,Kamwala Community Health Unit,703157,40709
Fully-functional,Miriu Health Centre,Wang'chieng,Karachuonyo,Karachuonyo,Homa Bay,Weta Kamwala Community Health Unit,703156,40009
Fully-functional,Obanga Health Centre,Gwassi North,Suba,Suba South,Homa Bay,Kitawa Community Health Unit,703155,39938
Fully-functional,Seka Health Centre,Gwassi South,Suba,Suba South,Homa Bay,Lwala Upper Community Health Unit,703154,42557
Fully-functional,Nyametaburo Health Centre,Mokerero,Kuria West,Kuria West,Migori,Nyang'ti Community Health Unit,703153,42263
Fully-functional,Isibania Mission Health Centre,Nyanmosense/Komosoko,Kuria West,Kuria West,Migori,Isibania Community Health Unit,703152,42019
Fully-functional,Nyasese Dispensary,Mokerero,Kuria West,Kuria West,Migori,Nyases Community Health Unit,703151,42170
Fully-functional,Isibania Sub-District Hospital,Isibania,Kuria West,Kuria West,Migori,Nyamaharaga Community Health Unit,703150,41440
Fully-functional,Iraha Dispensary,Nyanmosense/Komosoko,Kuria West,Kuria West,Migori,Iraha Community Health Unit,703149,41805
Fully-functional,Nyabokarange Dispensary,Bukira Central/Ikerege,Kuria West,Kuria West,Migori,Kiomakebe Community Health Unit,703148,39979
Fully-functional,Nyamekongoroto Health Centre,Masaba,Kuria West,Kuria West,Migori,Nyanchabo Community Health Unit,703147,41846
Fully-functional,Muchebe Dispensary,Tagare,Kuria West,Kuria West,Migori,Muchebe Community Health Unit,703146,42784
Fully-functional,Motemorabu Dispensary,Nyanmosense/Komosoko,Kuria West,Kuria West,Migori,Motemorabu Community Health Unit,703145,42019
Fully-functional,Ngisiru Dispensary,Tagare,Kuria West,Kuria West,Migori,Moseta Community Health Unit,703144,41075
Fully-functional,KDH,Bukira East,Kuria West,Kuria West,Migori,"Kehancha ""B"" Community Health Unit",703143,42536
Fully-functional,KDH,Bukira East,Kuria West,Kuria West,Migori,"Kehancha ""A"" Community Health Unit",703142,39979
Fully-functional,Nyamekongoroto Health Centre,Masaba,Kuria West,Kuria West,Migori,Getong'anya Community Health Unit,703141,42262
Fully-functional,Masaba Health Centre,Masaba,Kuria West,Kuria West,Migori,Masaba Community Health Unit,703140,42159
Fully-functional,Kohanga Dispensary,Masaba,Kuria West,Kuria West,Migori,Nyamagagana Community Health Unit,703139,41075
Fully-functional,Ong'amo Dispensary,West Kasipul,Kasipul,Rachuonyo South,Homa Bay,Kamyawa B Community Health Unit,703138,41092
Fully-functional,Dol Kodera Health Centre,West Kasipul,Kasipul,Rachuonyo South,Homa Bay,Kamyawa A Community Health Unit,703137,43291
Fully-functional,Koywech Dispensary,Central Kasipul,Kasipul,Rachuonyo South,Homa Bay,Kawere East Community Health Unit,703136,41092
Fully-functional,Simbiri Nanbell Health Centre,Central Kasipul,Kasipul,Rachuonyo South,Homa Bay,Kawere West Community Health Unit,703135,41061
Fully-functional,Rachuonyo District Hospital,West Kamagak,Kasipul,Rachuonyo South,Homa Bay,Kokal Community Health Unit,703134,41092
Fully-functional,Rachuonyo District Hospital,West Kamagak,Kasipul,Rachuonyo South,Homa Bay,Kanyango Community Health Unit,703133,42555
Fully-functional,Rachuonyo District Hospital,West Kamagak,Kasipul,Rachuonyo South,Homa Bay,Kasimba Community Health Unit,703132,42919
Fully-functional,Kijebi Dispensary,Gwassi North,Suba,Suba South,Homa Bay,Nyandiwa Upper Community Health Unit,703131,41318
Fully-functional,Kiembe Dispensary,Gwassi North,Suba,Suba South,Homa Bay,Tonga Upper Community Health Unit,703130,42103
Fully-functional,Msare Health Centre,Kaksingiri West,Suba,Suba South,Homa Bay,Rangwa Central Community Health Unit,703129,41495
Fully-functional,Kiwa Island Dispensary,Gwassi North,Suba,Suba South,Homa Bay,Kiwa Community Health Unit,703128,41866
Fully-functional,Mashuru Health Centre,Imaroro,Kajiado East,Kajiado East,Kajiado,Entepesi Community Health Unit,703127,43255
Fully-functional,Mashuru Health Centre,Imaroro,Kajiado East,Kajiado East,Kajiado,Mashuuru Community Health Unit,703126,43255
Fully-functional,Ngatu CDF,Imaroro,Kajiado East,Kajiado East,Kajiado,Ngatu Community Health Unit,703125,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Nkama Community Health Unit,703124,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Sultan Hamud Community Health Unit,703123,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Sunde Community Health Unit,703122,43255
Fully-functional,Emaroro Dispensary,Imaroro,Kajiado East,Kajiado East,Kajiado,Emarti Community Health Unit,703121,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Masimba Community Health Unit,703120,43255
Fully-functional,Osarai Dispensary,Imaroro,Kajiado East,Kajiado East,Kajiado,Osarai Community Health Unit,703119,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Imbuko Community Health Unit,703118,43255
Fully-functional,Osarai Dispensary,Imaroro,Kajiado East,Kajiado East,Kajiado,Ilmamen Community Health Unit,703117,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Kuncu Community Health Unit,703116,43255
Fully-functional,Osarai Dispensary,Imaroro,Kajiado East,Kajiado East,Kajiado,Erankau Community Health Unit,703115,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Kiboko Community Health Unit,703114,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Imbilin Community Health Unit,703113,43255
Fully-functional,Merueshi Village Community Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Merrueshi Community Health Unit,703112,43255
Fully-functional,Simba Health Centre,Kenyawa-poka,Kajiado East,Kajiado East,Kajiado,Emali Community Health Unit,703111,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Oloika Community Health Unit,703110,43255
Fully-functional,Oloosirkon Dispensary,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Emakoko Community Health Unit,703109,43255
Fully-functional,Oloosirkon Dispensary,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Olootepes Community Health Unit,703108,43255
