Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
14576,Intrepids Dispensary,Intrepids Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,4,0,4,Samburu,Samburu East,Samburu East,Wamba West,Operational,No,No,No,No,,Yes,Yes,No
14578,Iraa Dispensary,Iraa Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kericho,Sigowet/Soin,Sigowet/Soin,Kaplelartet,Operational,No,No,No,No,,Yes,Yes,No
14584,Itare Dispensary,Itare Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Bomet,Konoin,Konoin,Boito,Operational,No,No,No,No,,Yes,Yes,No
14585,Itembe Dispensary,Itembe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,4,Bomet,Chepalungu,Chepalungu,Nyangores,Operational,No,No,No,No,,Yes,Yes,No
14565,Ilkilinyet Dispensary,Ilkilinyet Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado East,Kajiado East,Kenyawa-poka,Operational,No,No,No,No,,Yes,Yes,No
14588,Jagoror Dispensary,Jagoror Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,0,4,Kericho,Kipkelion East,Kipkelion East,Londiani,Operational,No,No,No,No,,Yes,Yes,No
14595,Jemunada Dispensary,Jemunada Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Elgeyo Marakwet,Marakwet West,Marakwet West,Moiben/Kuserwo,Operational,No,No,No,No,,Yes,Yes,No
14564,Ilkerin Dispensary (Trans Mara),Ilkerin Dispensary (Trans Mara),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Narok,Emurua Dikirr,Transmara East,Iikerin,Operational,No,No,No,No,,Yes,Yes,No
14587,Itigo Dispensary,Itigo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Chesumei,Chesumei,Lelmoko/Ngechek,Operational,No,No,No,No,,Yes,Yes,No
14601,Juluk Dispensary,Juluk Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,0,Turkana,Turkana South,Turkana South,Kaputir,Operational,No,No,No,No,,Yes,Yes,No
14596,JFK Engineering Disp,Jfk Engineering Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kericho,Belgut,Belgut,Chaik,Operational,No,No,No,No,,Yes,Yes,No
14605,Kabalwat Dispensary,Kabalwat Dispensary,1483,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Elgeyo Marakwet,Keiyo South,Keiyo South,Chepkorio,Operational,No,No,No,No,,Yes,Yes,No
14621,Kabisaga Dispensary,Kabisaga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Mosop,Mosop,Kabisaga,Operational,No,No,No,No,,Yes,Yes,No
14617,Kabiemit Dispensary (Keiyo),Kabiemit Dispensary (Keiyo),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Elgeyo Marakwet,Keiyo South,Keiyo South,Kabiemit,Operational,No,No,No,No,,Yes,Yes,No
14614,Kabianga Tea Research,Kabianga Tea Farm,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kericho,Belgut,Belgut,Kabianga,Operational,No,No,No,No,,Yes,Yes,No
14626,Kabolecho Dispensary,Kabolecho Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Emurua Dikirr,Transmara East,Kapsasian,Operational,No,No,No,No,,Yes,Yes,No
14625,Kaboeito Dispensary,Kaboeito Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kericho,Bureti,Bureti,Tebesonik,Operational,No,No,No,No,,Yes,Yes,No
14620,Kabinga (CHBC) Dispensary,Kabianga (CBHC) Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kericho,Belgut,Belgut,Kabianga,Operational,No,No,No,No,,Yes,Yes,No
